name,2008,2016
Alabama,42,107
Alaska,13,20
Arizona,48,102
Arkansas,21,53
California,388,1367
Colorado,65,138
Connecticut,84,193
Delaware,12,25
District of Columbia,119,442
Florida,192,433
Georgia,193,633
Hawaii,13,20
Idaho,19,26
Illinois,34060,31370
Indiana,193,260
Iowa,223,673
Kansas,72,72
Kentucky,205,427
Louisiana,77,164
Maine,20,70
Maryland,177,520
Massachusetts,106,219
Michigan,168,296
Minnesota,149,278
Mississippi,19,32
Missouri,284,310
Montana,19,15
Nebraska,49,74
Nevada,17,25
New Hampshire,22,42
New Jersey,233,435
New Mexico,29,38
New York,639,1736
North Carolina,90,152
North Dakota,11,13
Ohio,287,582
Oklahoma,35,66
Oregon,27,57
Pennsylvania,177,322
Rhode Island,16,54
South Carolina,36,49
South Dakota,18,33
Tennessee,79,118
Texas,252,384
Utah,32,37
Vermont,22,51
Virginia,219,616
Washington,79,144
West Virginia,51,225
Wisconsin,139,219
Wyoming,5,23